age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
58,management,married,tertiary,no,2143,yes,no,cellular,5,may,261,1,-1,0,failure
44,technician,single,secondary,no,29,yes,no,cellular,5,may,151,1,-1,0,failure
33,entrepreneur,married,secondary,no,2,yes,yes,cellular,5,may,76,1,-1,0,failure
47,blue-collar,married,secondary,no,1506,yes,no,cellular,5,may,92,1,-1,0,failure
33,technician,single,secondary,no,1,no,no,cellular,5,may,198,1,-1,0,failure
28,unemployed,single,tertiary,no,0,yes,no,cellular,5,may,125,2,-1,0,failure
42,entrepreneur,divorced,tertiary,yes,2,yes,no,cellular,5,may,380,1,-1,0,failure
58,retired,married,primary,no,121,yes,no,cellular,5,may,50,1,-1,0,failure
58,admin.,married,secondary,no,6878,no,no,cellular,4,aug,148,1,-1,0,failure
41,admin.,divorced,secondary,no,270,yes,no,cellular,5,may,222,1,-1,0,failure
53,housemaid,divorced,primary,no,947,yes,no,cellular,5,may,163,1,-1,0,failure
57,services,married,secondary,no,162,yes,no,cellular,5,may,174,1,-1,0,failure
56,technician,married,secondary,no,589,yes,no,cellular,23,oct,518,1,147,2,success
38,self-employed,married,secondary,no,-10,no,no,cellular,2,jun,137,7,-1,0,failure
26,student,single,secondary,no,0,yes,no,cellular,5,may,610,2,-1,0,failure
59,retired,married,secondary,yes,49,no,yes,cellular,1,jul,602,4,-1,0,failure
23,student,single,secondary,no,922,no,no,cellular,1,sep,81,5,99,3,other
58,self-employed,married,tertiary,no,-364,yes,no,cellular,5,may,355,1,-1,0,failure
34,technician,single,secondary,no,1866,no,no,cellular,4,nov,95,1,-1,0,failure
41,technician,married,secondary,no,0,yes,no,telephone,4,dec,43,1,-1,0,failure
59,management,married,tertiary,no,2143,yes,no,cellular,28,jan,59,1,268,1,failure
42,services,married,secondary,no,1376,yes,no,cellular,2,mar,712,4,-1,0,failure
32,technician,single,tertiary,no,392,yes,no,cellular,1,apr,957,2,131,2,failure
46,technician,divorced,secondary,no,-90,no,yes,telephone,17,oct,270,1,-1,0,failure
31,services,single,secondary,no,295,no,no,cellular,2,feb,78,5,-1,0,failure
27,management,single,secondary,no,35,no,no,cellular,4,jul,255,1,-1,0,failure
31,technician,single,secondary,no,19,no,no,telephone,4,jul,65,2,-1,0,failure
33,admin.,married,tertiary,no,882,no,no,telephone,21,oct,39,1,151,3,failure
42,admin.,single,secondary,no,-247,yes,yes,telephone,21,oct,519,1,166,1,other
